cod_divipola,municipio,departamento,anio,semana_epidemiologica,evento_estandar,casos,poblacion,tasa_x_100k,so2_flux_ton_dia
52001,Pasto,Nariño,2020,1,IRA,182,450000,40.44,239.1
52001,Pasto,Nariño,2020,1,EDA,59,450000,13.11,371.4
52683,Sandoná,Nariño,2020,1,IRA,13,30000,43.33,674.0
52683,Sandoná,Nariño,2020,1,EDA,6,30000,20.0,280.5
52207,Consacá,Nariño,2020,1,IRA,4,14000,28.57,242.3
52207,Consacá,Nariño,2020,1,EDA,1,14000,7.14,559.7
52299,La Florida,Nariño,2020,1,IRA,4,18000,22.22,355.1
52299,La Florida,Nariño,2020,1,EDA,3,18000,16.67,586.1
52885,Yacuanquer,Nariño,2020,1,IRA,3,13000,23.08,615.7
52885,Yacuanquer,Nariño,2020,1,EDA,2,13000,15.38,226.8
52480,Nariño,Nariño,2020,1,IRA,10,22000,45.45,688.3
52480,Nariño,Nariño,2020,1,EDA,3,22000,13.64,326.2
52001,Pasto,Nariño,2020,2,IRA,238,450000,52.89,458.0
52001,Pasto,Nariño,2020,2,EDA,46,450000,10.22,294.0
52683,Sandoná,Nariño,2020,2,IRA,14,30000,46.67,640.6
52683,Sandoná,Nariño,2020,2,EDA,5,30000,16.67,726.8
52207,Consacá,Nariño,2020,2,IRA,5,14000,35.71,893.2
52207,Consacá,Nariño,2020,2,EDA,1,14000,7.14,605.3
52299,La Florida,Nariño,2020,2,IRA,8,18000,44.44,650.7
52299,La Florida,Nariño,2020,2,EDA,3,18000,16.67,622.6
52885,Yacuanquer,Nariño,2020,2,IRA,5,13000,38.46,259.2
52885,Yacuanquer,Nariño,2020,2,EDA,1,13000,7.69,425.7
52480,Nariño,Nariño,2020,2,IRA,5,22000,22.73,387.0
52480,Nariño,Nariño,2020,2,EDA,2,22000,9.09,417.9
52001,Pasto,Nariño,2020,3,IRA,203,450000,45.11,488.1
52001,Pasto,Nariño,2020,3,EDA,57,450000,12.67,379.5
52683,Sandoná,Nariño,2020,3,IRA,9,30000,30.0,887.9
52683,Sandoná,Nariño,2020,3,EDA,4,30000,13.33,658.9
52207,Consacá,Nariño,2020,3,IRA,4,14000,28.57,742.8
52207,Consacá,Nariño,2020,3,EDA,1,14000,7.14,498.3
52299,La Florida,Nariño,2020,3,IRA,10,18000,55.56,680.5
52299,La Florida,Nariño,2020,3,EDA,2,18000,11.11,711.7
52885,Yacuanquer,Nariño,2020,3,IRA,6,13000,46.15,775.6
52885,Yacuanquer,Nariño,2020,3,EDA,1,13000,7.69,255.5
52480,Nariño,Nariño,2020,3,IRA,7,22000,31.82,420.2
52480,Nariño,Nariño,2020,3,EDA,2,22000,9.09,892.3
52001,Pasto,Nariño,2020,4,IRA,249,450000,55.33,462.4
52001,Pasto,Nariño,2020,4,EDA,67,450000,14.89,520.2
52683,Sandoná,Nariño,2020,4,IRA,17,30000,56.67,565.3
52683,Sandoná,Nariño,2020,4,EDA,3,30000,10.0,413.9
52207,Consacá,Nariño,2020,4,IRA,6,14000,42.86,425.4
52207,Consacá,Nariño,2020,4,EDA,1,14000,7.14,878.6
52299,La Florida,Nariño,2020,4,IRA,7,18000,38.89,394.4
52299,La Florida,Nariño,2020,4,EDA,3,18000,16.67,601.5
52885,Yacuanquer,Nariño,2020,4,IRA,3,13000,23.08,271.5
52885,Yacuanquer,Nariño,2020,4,EDA,1,13000,7.69,685.7
52480,Nariño,Nariño,2020,4,IRA,11,22000,50.0,539.2
52480,Nariño,Nariño,2020,4,EDA,1,22000,4.55,510.2
52001,Pasto,Nariño,2020,5,IRA,277,450000,61.56,627.0
52001,Pasto,Nariño,2020,5,EDA,76,450000,16.89,868.1
52683,Sandoná,Nariño,2020,5,IRA,8,30000,26.67,766.3
52683,Sandoná,Nariño,2020,5,EDA,4,30000,13.33,632.7
52207,Consacá,Nariño,2020,5,IRA,5,14000,35.71,708.3
52207,Consacá,Nariño,2020,5,EDA,1,14000,7.14,558.4
52299,La Florida,Nariño,2020,5,IRA,7,18000,38.89,935.8
52299,La Florida,Nariño,2020,5,EDA,2,18000,11.11,433.8
52885,Yacuanquer,Nariño,2020,5,IRA,5,13000,38.46,372.2
52885,Yacuanquer,Nariño,2020,5,EDA,2,13000,15.38,875.2
52480,Nariño,Nariño,2020,5,IRA,8,22000,36.36,706.9
52480,Nariño,Nariño,2020,5,EDA,2,22000,9.09,353.5
52001,Pasto,Nariño,2020,6,IRA,248,450000,55.11,645.0
52001,Pasto,Nariño,2020,6,EDA,62,450000,13.78,638.4
52683,Sandoná,Nariño,2020,6,IRA,8,30000,26.67,486.0
52683,Sandoná,Nariño,2020,6,EDA,2,30000,6.67,933.1
52207,Consacá,Nariño,2020,6,IRA,8,14000,57.14,861.1
52207,Consacá,Nariño,2020,6,EDA,1,14000,7.14,289.2
52299,La Florida,Nariño,2020,6,IRA,10,18000,55.56,946.3
52299,La Florida,Nariño,2020,6,EDA,1,18000,5.56,605.6
52885,Yacuanquer,Nariño,2020,6,IRA,3,13000,23.08,808.5
52885,Yacuanquer,Nariño,2020,6,EDA,1,13000,7.69,341.3
52480,Nariño,Nariño,2020,6,IRA,9,22000,40.91,652.7
52480,Nariño,Nariño,2020,6,EDA,2,22000,9.09,891.2
52001,Pasto,Nariño,2020,7,IRA,196,450000,43.56,408.8
52001,Pasto,Nariño,2020,7,EDA,48,450000,10.67,797.3
52683,Sandoná,Nariño,2020,7,IRA,10,30000,33.33,483.7
52683,Sandoná,Nariño,2020,7,EDA,4,30000,13.33,737.2
52207,Consacá,Nariño,2020,7,IRA,6,14000,42.86,638.0
52207,Consacá,Nariño,2020,7,EDA,1,14000,7.14,418.4
52299,La Florida,Nariño,2020,7,IRA,7,18000,38.89,691.1
52299,La Florida,Nariño,2020,7,EDA,1,18000,5.56,415.1
52885,Yacuanquer,Nariño,2020,7,IRA,3,13000,23.08,723.2
52885,Yacuanquer,Nariño,2020,7,EDA,1,13000,7.69,928.8
52480,Nariño,Nariño,2020,7,IRA,13,22000,59.09,303.1
52480,Nariño,Nariño,2020,7,EDA,1,22000,4.55,751.6
52001,Pasto,Nariño,2020,8,IRA,164,450000,36.44,353.4
52001,Pasto,Nariño,2020,8,EDA,58,450000,12.89,686.5
52683,Sandoná,Nariño,2020,8,IRA,13,30000,43.33,848.6
52683,Sandoná,Nariño,2020,8,EDA,3,30000,10.0,397.5
52207,Consacá,Nariño,2020,8,IRA,4,14000,28.57,580.2
52207,Consacá,Nariño,2020,8,EDA,1,14000,7.14,607.5
52299,La Florida,Nariño,2020,8,IRA,10,18000,55.56,764.1
52299,La Florida,Nariño,2020,8,EDA,2,18000,11.11,327.7
52885,Yacuanquer,Nariño,2020,8,IRA,5,13000,38.46,510.6
52885,Yacuanquer,Nariño,2020,8,EDA,1,13000,7.69,441.7
52480,Nariño,Nariño,2020,8,IRA,7,22000,31.82,593.5
52480,Nariño,Nariño,2020,8,EDA,1,22000,4.55,464.4
52001,Pasto,Nariño,2020,9,IRA,172,450000,38.22,963.4
52001,Pasto,Nariño,2020,9,EDA,37,450000,8.22,915.9
52683,Sandoná,Nariño,2020,9,IRA,14,30000,46.67,294.3
52683,Sandoná,Nariño,2020,9,EDA,3,30000,10.0,896.5
52207,Consacá,Nariño,2020,9,IRA,9,14000,64.29,965.8
52207,Consacá,Nariño,2020,9,EDA,1,14000,7.14,383.1
52299,La Florida,Nariño,2020,9,IRA,8,18000,44.44,419.4
52299,La Florida,Nariño,2020,9,EDA,1,18000,5.56,300.5
52885,Yacuanquer,Nariño,2020,9,IRA,5,13000,38.46,1010.9
52885,Yacuanquer,Nariño,2020,9,EDA,0,13000,0.0,856.7
52480,Nariño,Nariño,2020,9,IRA,10,22000,45.45,579.9
52480,Nariño,Nariño,2020,9,EDA,2,22000,9.09,1018.7
52001,Pasto,Nariño,2020,10,IRA,225,450000,50.0,812.6
52001,Pasto,Nariño,2020,10,EDA,26,450000,5.78,486.8
52683,Sandoná,Nariño,2020,10,IRA,19,30000,63.33,705.0
52683,Sandoná,Nariño,2020,10,EDA,2,30000,6.67,835.4
52207,Consacá,Nariño,2020,10,IRA,4,14000,28.57,708.9
52207,Consacá,Nariño,2020,10,EDA,1,14000,7.14,916.4
52299,La Florida,Nariño,2020,10,IRA,6,18000,33.33,999.8
52299,La Florida,Nariño,2020,10,EDA,0,18000,0.0,401.1
52885,Yacuanquer,Nariño,2020,10,IRA,6,13000,46.15,779.2
52885,Yacuanquer,Nariño,2020,10,EDA,0,13000,0.0,350.2
52480,Nariño,Nariño,2020,10,IRA,13,22000,59.09,447.8
52480,Nariño,Nariño,2020,10,EDA,1,22000,4.55,736.1
52001,Pasto,Nariño,2020,11,IRA,201,450000,44.67,712.4
52001,Pasto,Nariño,2020,11,EDA,33,450000,7.33,985.1
52683,Sandoná,Nariño,2020,11,IRA,10,30000,33.33,815.3
52683,Sandoná,Nariño,2020,11,EDA,1,30000,3.33,566.4
52207,Consacá,Nariño,2020,11,IRA,7,14000,50.0,492.0
52207,Consacá,Nariño,2020,11,EDA,0,14000,0.0,843.0
52299,La Florida,Nariño,2020,11,IRA,5,18000,27.78,615.0
52299,La Florida,Nariño,2020,11,EDA,1,18000,5.56,1032.8
52885,Yacuanquer,Nariño,2020,11,IRA,4,13000,30.77,424.5
52885,Yacuanquer,Nariño,2020,11,EDA,0,13000,0.0,983.9
52480,Nariño,Nariño,2020,11,IRA,13,22000,59.09,942.0
