cod_divipola,municipio,semana_epidemiologica,anio,evento_estandar,nivel_riesgo_predicho,probabilidad
52001,Pasto,1,2020,IRA,alto,1.0
52001,Pasto,1,2020,EDA,medio,1.0
52683,Sandoná,1,2020,IRA,alto,1.0
52683,Sandoná,1,2020,EDA,medio,0.999
52207,Consacá,1,2020,IRA,alto,1.0
52207,Consacá,1,2020,EDA,bajo,0.999
52299,La Florida,1,2020,IRA,alto,1.0
52299,La Florida,1,2020,EDA,medio,0.999
52885,Yacuanquer,1,2020,IRA,alto,1.0
52885,Yacuanquer,1,2020,EDA,medio,0.999
52480,Nariño,1,2020,IRA,alto,1.0
52480,Nariño,1,2020,EDA,medio,1.0
52001,Pasto,2,2020,IRA,alto,1.0
52001,Pasto,2,2020,EDA,medio,0.999
52683,Sandoná,2,2020,IRA,alto,1.0
52683,Sandoná,2,2020,EDA,medio,1.0
52207,Consacá,2,2020,IRA,alto,1.0
52207,Consacá,2,2020,EDA,bajo,0.999
52299,La Florida,2,2020,IRA,alto,1.0
52299,La Florida,2,2020,EDA,medio,0.999
52885,Yacuanquer,2,2020,IRA,alto,1.0
52885,Yacuanquer,2,2020,EDA,bajo,0.999
52480,Nariño,2,2020,IRA,alto,1.0
52480,Nariño,2,2020,EDA,medio,0.999
52001,Pasto,3,2020,IRA,alto,1.0
52001,Pasto,3,2020,EDA,medio,1.0
52683,Sandoná,3,2020,IRA,alto,1.0
52683,Sandoná,3,2020,EDA,medio,1.0
52207,Consacá,3,2020,IRA,alto,1.0
52207,Consacá,3,2020,EDA,bajo,0.999
52299,La Florida,3,2020,IRA,alto,1.0
52299,La Florida,3,2020,EDA,medio,0.999
52885,Yacuanquer,3,2020,IRA,alto,1.0
52885,Yacuanquer,3,2020,EDA,bajo,0.999
52480,Nariño,3,2020,IRA,alto,1.0
52480,Nariño,3,2020,EDA,medio,0.999
52001,Pasto,4,2020,IRA,alto,1.0
52001,Pasto,4,2020,EDA,medio,1.0
52683,Sandoná,4,2020,IRA,alto,1.0
52683,Sandoná,4,2020,EDA,medio,0.999
52207,Consacá,4,2020,IRA,alto,1.0
52207,Consacá,4,2020,EDA,bajo,0.999
52299,La Florida,4,2020,IRA,alto,1.0
52299,La Florida,4,2020,EDA,medio,0.999
52885,Yacuanquer,4,2020,IRA,alto,1.0
52885,Yacuanquer,4,2020,EDA,bajo,0.999
52480,Nariño,4,2020,IRA,alto,1.0
52480,Nariño,4,2020,EDA,bajo,0.998
52001,Pasto,5,2020,IRA,alto,1.0
52001,Pasto,5,2020,EDA,medio,0.999
52683,Sandoná,5,2020,IRA,alto,1.0
52683,Sandoná,5,2020,EDA,medio,0.999
52207,Consacá,5,2020,IRA,alto,1.0
52207,Consacá,5,2020,EDA,bajo,0.999
52299,La Florida,5,2020,IRA,alto,1.0
52299,La Florida,5,2020,EDA,medio,0.999
52885,Yacuanquer,5,2020,IRA,alto,1.0
52885,Yacuanquer,5,2020,EDA,medio,0.999
52480,Nariño,5,2020,IRA,alto,1.0
52480,Nariño,5,2020,EDA,medio,0.999
52001,Pasto,6,2020,IRA,alto,1.0
52001,Pasto,6,2020,EDA,medio,0.999
52683,Sandoná,6,2020,IRA,alto,1.0
52683,Sandoná,6,2020,EDA,bajo,0.999
52207,Consacá,6,2020,IRA,alto,1.0
52207,Consacá,6,2020,EDA,bajo,0.999
52299,La Florida,6,2020,IRA,alto,1.0
52299,La Florida,6,2020,EDA,bajo,0.999
52885,Yacuanquer,6,2020,IRA,alto,1.0
52885,Yacuanquer,6,2020,EDA,bajo,0.999
52480,Nariño,6,2020,IRA,alto,1.0
52480,Nariño,6,2020,EDA,medio,0.999
52001,Pasto,7,2020,IRA,alto,1.0
52001,Pasto,7,2020,EDA,medio,0.999
52683,Sandoná,7,2020,IRA,alto,1.0
52683,Sandoná,7,2020,EDA,medio,0.999
52207,Consacá,7,2020,IRA,alto,1.0
52207,Consacá,7,2020,EDA,bajo,0.999
52299,La Florida,7,2020,IRA,alto,1.0
52299,La Florida,7,2020,EDA,bajo,0.999
52885,Yacuanquer,7,2020,IRA,alto,1.0
52885,Yacuanquer,7,2020,EDA,bajo,0.999
52480,Nariño,7,2020,IRA,alto,1.0
52480,Nariño,7,2020,EDA,bajo,0.999
52001,Pasto,8,2020,IRA,alto,1.0
52001,Pasto,8,2020,EDA,medio,0.999
52683,Sandoná,8,2020,IRA,alto,1.0
52683,Sandoná,8,2020,EDA,medio,0.999
52207,Consacá,8,2020,IRA,alto,1.0
52207,Consacá,8,2020,EDA,bajo,0.999
52299,La Florida,8,2020,IRA,alto,1.0
52299,La Florida,8,2020,EDA,medio,0.999
52885,Yacuanquer,8,2020,IRA,alto,1.0
52885,Yacuanquer,8,2020,EDA,bajo,0.999
52480,Nariño,8,2020,IRA,alto,1.0
52480,Nariño,8,2020,EDA,bajo,0.999
52001,Pasto,9,2020,IRA,alto,1.0
52001,Pasto,9,2020,EDA,medio,0.998
52683,Sandoná,9,2020,IRA,alto,1.0
52683,Sandoná,9,2020,EDA,medio,0.999
52207,Consacá,9,2020,IRA,alto,1.0
52207,Consacá,9,2020,EDA,bajo,1.0
52299,La Florida,9,2020,IRA,alto,1.0
52299,La Florida,9,2020,EDA,bajo,0.999
52885,Yacuanquer,9,2020,IRA,alto,1.0
52885,Yacuanquer,9,2020,EDA,bajo,1.0
52480,Nariño,9,2020,IRA,alto,1.0
52480,Nariño,9,2020,EDA,medio,0.998
52001,Pasto,10,2020,IRA,alto,1.0
52001,Pasto,10,2020,EDA,bajo,0.999
52683,Sandoná,10,2020,IRA,alto,1.0
52683,Sandoná,10,2020,EDA,bajo,0.999
52207,Consacá,10,2020,IRA,alto,1.0
52207,Consacá,10,2020,EDA,bajo,1.0
52299,La Florida,10,2020,IRA,alto,1.0
52299,La Florida,10,2020,EDA,bajo,1.0
52885,Yacuanquer,10,2020,IRA,alto,1.0
52885,Yacuanquer,10,2020,EDA,bajo,1.0
52480,Nariño,10,2020,IRA,alto,1.0
52480,Nariño,10,2020,EDA,bajo,0.999
52001,Pasto,11,2020,IRA,alto,1.0
52001,Pasto,11,2020,EDA,bajo,0.999
52683,Sandoná,11,2020,IRA,alto,1.0
52683,Sandoná,11,2020,EDA,bajo,0.999
52207,Consacá,11,2020,IRA,alto,1.0
52207,Consacá,11,2020,EDA,bajo,1.0
52299,La Florida,11,2020,IRA,alto,1.0
52299,La Florida,11,2020,EDA,bajo,1.0
52885,Yacuanquer,11,2020,IRA,alto,1.0
52885,Yacuanquer,11,2020,EDA,bajo,1.0
52480,Nariño,11,2020,IRA,alto,1.0
52480,Nariño,11,2020,EDA,bajo,0.999
52001,Pasto,12,2020,IRA,alto,1.0
52001,Pasto,12,2020,EDA,bajo,1.0
52683,Sandoná,12,2020,IRA,alto,1.0
52683,Sandoná,12,2020,EDA,bajo,1.0
52207,Consacá,12,2020,IRA,alto,1.0
52207,Consacá,12,2020,EDA,bajo,1.0
52299,La Florida,12,2020,IRA,alto,1.0
52299,La Florida,12,2020,EDA,bajo,1.0
52885,Yacuanquer,12,2020,IRA,alto,1.0
52885,Yacuanquer,12,2020,EDA,bajo,1.0
52480,Nariño,12,2020,IRA,alto,1.0
52480,Nariño,12,2020,EDA,bajo,1.0
52001,Pasto,13,2020,IRA,alto,1.0
52001,Pasto,13,2020,EDA,bajo,1.0
52683,Sandoná,13,2020,IRA,alto,1.0
52683,Sandoná,13,2020,EDA,bajo,1.0
52207,Consacá,13,2020,IRA,alto,1.0
52207,Consacá,13,2020,EDA,bajo,1.0
52299,La Florida,13,2020,IRA,alto,1.0
52299,La Florida,13,2020,EDA,bajo,1.0
52885,Yacuanquer,13,2020,IRA,alto,1.0
52885,Yacuanquer,13,2020,EDA,bajo,1.0
52480,Nariño,13,2020,IRA,alto,1.0
52480,Nariño,13,2020,EDA,bajo,1.0
52001,Pasto,14,2020,IRA,alto,1.0
52001,Pasto,14,2020,EDA,bajo,1.0
52683,Sandoná,14,2020,IRA,alto,1.0
52683,Sandoná,14,2020,EDA,bajo,1.0
52207,Consacá,14,2020,IRA,alto,1.0
52207,Consacá,14,2020,EDA,bajo,1.0
52299,La Florida,14,2020,IRA,alto,1.0
52299,La Florida,14,2020,EDA,bajo,1.0
52885,Yacuanquer,14,2020,IRA,alto,1.0
52885,Yacuanquer,14,2020,EDA,bajo,1.0
52480,Nariño,14,2020,IRA,alto,1.0
52480,Nariño,14,2020,EDA,bajo,1.0
52001,Pasto,15,2020,IRA,alto,1.0
52001,Pasto,15,2020,EDA,bajo,1.0
52683,Sandoná,15,2020,IRA,alto,1.0
52683,Sandoná,15,2020,EDA,bajo,1.0
52207,Consacá,15,2020,IRA,alto,1.0
52207,Consacá,15,2020,EDA,bajo,1.0
52299,La Florida,15,2020,IRA,alto,1.0
52299,La Florida,15,2020,EDA,bajo,1.0
52885,Yacuanquer,15,2020,IRA,alto,1.0
52885,Yacuanquer,15,2020,EDA,bajo,1.0
52480,Nariño,15,2020,IRA,alto,1.0
52480,Nariño,15,2020,EDA,bajo,1.0
52001,Pasto,16,2020,IRA,alto,1.0
52001,Pasto,16,2020,EDA,bajo,1.0
52683,Sandoná,16,2020,IRA,alto,1.0
52683,Sandoná,16,2020,EDA,bajo,1.0
52207,Consacá,16,2020,IRA,alto,1.0
52207,Consacá,16,2020,EDA,bajo,1.0
52299,La Florida,16,2020,IRA,alto,1.0
52299,La Florida,16,2020,EDA,bajo,1.0
52885,Yacuanquer,16,2020,IRA,alto,1.0
52885,Yacuanquer,16,2020,EDA,bajo,1.0
52480,Nariño,16,2020,IRA,alto,1.0
52480,Nariño,16,2020,EDA,bajo,1.0
52001,Pasto,17,2020,IRA,alto,1.0
52001,Pasto,17,2020,EDA,bajo,1.0
52683,Sandoná,17,2020,IRA,alto,1.0
52683,Sandoná,17,2020,EDA,bajo,1.0
52207,Consacá,17,2020,IRA,alto,1.0
52207,Consacá,17,2020,EDA,bajo,1.0
52299,La Florida,17,2020,IRA,alto,1.0
52299,La Florida,17,2020,EDA,bajo,1.0
52885,Yacuanquer,17,2020,IRA,alto,1.0
52885,Yacuanquer,17,2020,EDA,bajo,1.0
52480,Nariño,17,2020,IRA,alto,1.0
52480,Nariño,17,2020,EDA,bajo,1.0
52001,Pasto,18,2020,IRA,alto,1.0
52001,Pasto,18,2020,EDA,bajo,1.0
52683,Sandoná,18,2020,IRA,alto,1.0
52683,Sandoná,18,2020,EDA,bajo,1.0
52207,Consacá,18,2020,IRA,alto,1.0
52207,Consacá,18,2020,EDA,bajo,1.0
52299,La Florida,18,2020,IRA,alto,1.0
52299,La Florida,18,2020,EDA,bajo,1.0
52885,Yacuanquer,18,2020,IRA,alto,1.0
52885,Yacuanquer,18,2020,EDA,bajo,1.0
52480,Nariño,18,2020,IRA,alto,1.0
52480,Nariño,18,2020,EDA,bajo,1.0
52001,Pasto,19,2020,IRA,alto,1.0
52001,Pasto,19,2020,EDA,bajo,1.0
52683,Sandoná,19,2020,IRA,alto,1.0
52683,Sandoná,19,2020,EDA,bajo,1.0
52207,Consacá,19,2020,IRA,alto,1.0
52207,Consacá,19,2020,EDA,bajo,1.0
52299,La Florida,19,2020,IRA,alto,1.0
52299,La Florida,19,2020,EDA,bajo,1.0
52885,Yacuanquer,19,2020,IRA,alto,1.0
52885,Yacuanquer,19,2020,EDA,bajo,1.0
52480,Nariño,19,2020,IRA,alto,1.0
